# ran: examples/color_live.py
# NOTE: this is program OUTPUT; the source is in examples/color_live.py

# examples/color_live.py — stream BOTH colour sensors so surfaces can be compared live.
==========================================================================
COLOUR SENSORS -- LIVE. Hold each surface under sensor C and keep it still.
==========================================================================

  Surfaces that matter: floor | YELLOW note | BLUE tape | SILVER tape
  Watch the 'name' column and the r:g:b ratios, not the raw numbers.

   t(s)  P  color name      refl |   r    g    b    i | r%%   g%%   b%%
   12.6  D    -1 UNKNOWN      5 |   35   16   16   52 | 52.2 23.9 23.9
   12.8  C    -1 UNKNOWN      0 |    4    3    4    8 | 36.4 27.3 36.4
   12.8  D    -1 UNKNOWN      4 |   27   13   12   41 | 51.9 25.0 23.1
   13.1  C    -1 UNKNOWN      1 |    7    4    4   11 | 46.7 26.7 26.7
   13.1  D    -1 UNKNOWN      6 |   45   21   19   67 | 52.9 24.7 22.4
   13.3  C    -1 UNKNOWN      1 |    9    5    6   15 | 45.0 25.0 30.0
   13.3  D    -1 UNKNOWN      2 |   20    9    9   30 | 52.6 23.7 23.7
   13.6  C    -1 UNKNOWN      1 |    8    5    4   14 | 47.1 29.4 23.5
   13.6  D    -1 UNKNOWN      4 |   27   14   12   42 | 50.9 26.4 22.6
   13.8  C    -1 UNKNOWN      1 |    9    5    4   16 | 50.0 27.8 22.2
   13.8  D    -1 UNKNOWN      3 |   20   10    9   32 | 51.3 25.6 23.1
   14.1  C    -1 UNKNOWN      1 |    6    4    6   13 | 37.5 25.0 37.5
   14.1  D    -1 UNKNOWN      2 |   16    8    7   25 | 51.6 25.8 22.6
   14.3  C    -1 UNKNOWN      0 |    4    4    4    9 | 33.3 33.3 33.3
   14.3  D    -1 UNKNOWN      2 |   20    9    9   30 | 52.6 23.7 23.7
   14.6  C    -1 UNKNOWN      0 |    5    3    4    8 | 41.7 25.0 33.3
   14.6  D    -1 UNKNOWN      2 |   18    9    7   28 | 52.9 26.5 20.6
   14.8  C    -1 UNKNOWN      1 |    6    4    4   12 | 42.9 28.6 28.6
   14.8  D    -1 UNKNOWN      3 |   24   12   11   38 | 51.1 25.5 23.4
   15.1  C    -1 UNKNOWN      0 |    4    3    4    7 | 36.4 27.3 36.4
   15.1  D    -1 UNKNOWN      0 |    3    1    3    4 | 42.9 14.3 42.9
   15.3  C    -1 UNKNOWN      0 |    5    3    4   10 | 41.7 25.0 33.3
   15.3  D    -1 UNKNOWN      0 |    2    1    0    4 | 66.7 33.3  0.0
   15.6  C    -1 UNKNOWN      0 |    5    3    4    8 | 41.7 25.0 33.3
   15.6  D    -1 UNKNOWN      0 |    1    1    2    2 | 25.0 25.0 50.0
   15.8  C    -1 UNKNOWN      0 |    6    3    4    9 | 46.2 23.1 30.8
   15.8  D    -1 UNKNOWN      0 |    1    1    1    3 | 33.3 33.3 33.3
   16.1  C    -1 UNKNOWN      0 |    3    1    2    4 | 50.0 16.7 33.3
   16.1  D    -1 UNKNOWN      0 |    1    1    1    2 | 33.3 33.3 33.3
