# surface survey -- labelled colour-sensor captures
# SV,label,port,t_ms,color_code,color_name,reflection,r,g,b,i
# --- YELLOW_NOTE  10:04:40  (5 s) ---
SV,YELLOW_NOTE,D,2426,0,BLACK,21,86,99,107,216
SV,YELLOW_NOTE,C,2527,0,BLACK,33,148,153,153,346
SV,YELLOW_NOTE,D,2527,0,BLACK,20,84,97,104,211
SV,YELLOW_NOTE,C,2628,0,BLACK,33,145,149,149,338
SV,YELLOW_NOTE,D,2628,0,BLACK,19,80,91,99,202
SV,YELLOW_NOTE,C,2729,0,BLACK,32,143,148,148,334
SV,YELLOW_NOTE,D,2729,0,BLACK,19,79,90,97,197
SV,YELLOW_NOTE,C,2830,0,BLACK,33,144,150,151,338
SV,YELLOW_NOTE,D,2830,0,BLACK,20,84,95,102,209
SV,YELLOW_NOTE,C,2931,0,BLACK,32,143,149,151,337
SV,YELLOW_NOTE,D,2931,0,BLACK,20,85,97,104,213
SV,YELLOW_NOTE,C,3032,0,BLACK,33,146,153,153,345
SV,YELLOW_NOTE,D,3032,0,BLACK,20,84,97,104,211
SV,YELLOW_NOTE,C,3133,0,BLACK,32,143,150,151,336
SV,YELLOW_NOTE,D,3133,0,BLACK,20,83,94,102,208
SV,YELLOW_NOTE,C,3234,0,BLACK,31,136,144,144,321
SV,YELLOW_NOTE,D,3234,0,BLACK,19,80,91,99,202
SV,YELLOW_NOTE,C,3335,0,BLACK,27,120,128,131,286
SV,YELLOW_NOTE,D,3335,0,BLACK,17,71,81,88,180
SV,YELLOW_NOTE,C,3436,0,BLACK,24,107,114,116,254
SV,YELLOW_NOTE,D,3436,0,BLACK,14,60,69,77,152
SV,YELLOW_NOTE,C,3537,0,BLACK,22,96,101,103,228
SV,YELLOW_NOTE,D,3537,0,BLACK,12,52,59,65,131
SV,YELLOW_NOTE,C,3638,0,BLACK,22,100,105,106,234
SV,YELLOW_NOTE,D,3638,0,BLACK,12,50,58,63,127
SV,YELLOW_NOTE,C,3739,0,BLACK,31,139,144,144,322
SV,YELLOW_NOTE,D,3739,0,BLACK,18,78,87,94,193
SV,YELLOW_NOTE,C,3840,10,WHITE,40,180,185,181,418
SV,YELLOW_NOTE,D,3840,0,BLACK,22,92,103,112,229
SV,YELLOW_NOTE,C,3941,10,WHITE,40,178,182,181,412
SV,YELLOW_NOTE,D,3941,0,BLACK,23,94,106,116,237
SV,YELLOW_NOTE,C,4043,10,WHITE,40,180,184,181,416
SV,YELLOW_NOTE,D,4043,0,BLACK,22,94,106,114,235
SV,YELLOW_NOTE,C,4144,10,WHITE,40,181,185,183,417
SV,YELLOW_NOTE,D,4144,0,BLACK,23,94,107,116,236
SV,YELLOW_NOTE,C,4245,10,WHITE,37,166,170,170,384
SV,YELLOW_NOTE,D,4245,0,BLACK,22,94,106,114,234
SV,YELLOW_NOTE,C,4346,10,WHITE,36,158,164,164,369
SV,YELLOW_NOTE,D,4346,0,BLACK,22,91,103,111,229
SV,YELLOW_NOTE,C,4447,10,WHITE,36,159,165,166,372
