# ran: examples/color_live.py
# NOTE: this is program OUTPUT; the source is in examples/color_live.py

# examples/color_live.py — stream BOTH colour sensors so surfaces can be compared live.
==========================================================================
COLOUR SENSORS -- LIVE. Hold each surface under sensor C and keep it still.
==========================================================================

  Surfaces that matter: floor | YELLOW note | BLUE tape | SILVER tape
  Watch the 'name' column and the r:g:b ratios, not the raw numbers.

   t(s)  P  color name      refl |   r    g    b    i | r%%   g%%   b%%
   15.3  D     0 BLACK       13 |   64   61   53  138 | 36.0 34.3 29.8
   15.6  C    10 WHITE       77 |  347  356  344  791 | 33.1 34.0 32.9
   15.6  D     0 BLACK       13 |   64   61   53  138 | 36.0 34.3 29.8
   15.8  C    10 WHITE       77 |  349  359  346  795 | 33.1 34.1 32.8
   15.8  D     0 BLACK       13 |   64   61   53  138 | 36.0 34.3 29.8
   16.1  C    10 WHITE       77 |  348  356  344  796 | 33.2 34.0 32.8
   16.1  D     0 BLACK       13 |   64   61   53  138 | 36.0 34.3 29.8
   16.3  C    10 WHITE       78 |  349  359  346  800 | 33.1 34.1 32.8
   16.3  D     0 BLACK       13 |   65   62   53  139 | 36.1 34.4 29.4
   16.6  C    10 WHITE       77 |  347  356  344  794 | 33.1 34.0 32.9
   16.6  D     0 BLACK       13 |   65   62   54  139 | 35.9 34.3 29.8
   16.8  C    10 WHITE       77 |  346  355  343  791 | 33.1 34.0 32.9
   16.8  D     0 BLACK       13 |   65   61   54  139 | 36.1 33.9 30.0
   17.1  C    10 WHITE       77 |  348  357  344  796 | 33.2 34.0 32.8
   17.1  D     0 BLACK       13 |   66   62   54  142 | 36.3 34.1 29.7
   17.3  C    10 WHITE       79 |  357  365  350  813 | 33.3 34.0 32.6
   17.3  D     0 BLACK       14 |   68   65   56  146 | 36.0 34.4 29.6
   17.6  C    10 WHITE       79 |  359  368  354  814 | 33.2 34.0 32.7
   17.6  D     0 BLACK       14 |   69   65   56  148 | 36.3 34.2 29.5
   17.8  C    10 WHITE       79 |  360  368  354  816 | 33.3 34.0 32.7
   17.8  D     0 BLACK       13 |   66   63   54  142 | 36.1 34.4 29.5
   18.1  C    10 WHITE       79 |  357  365  352  813 | 33.2 34.0 32.8
   18.1  D     0 BLACK       13 |   67   63   56  143 | 36.0 33.9 30.1
   18.3  C    10 WHITE       79 |  357  365  352  816 | 33.2 34.0 32.8
   18.3  D     0 BLACK       13 |   67   63   54  143 | 36.4 34.2 29.3
   18.6  C    10 WHITE       78 |  354  363  348  803 | 33.2 34.1 32.7
   18.6  D     0 BLACK       22 |  105  101   88  229 | 35.7 34.4 29.9
   18.8  C    10 WHITE       78 |  354  363  348  804 | 33.2 34.1 32.7
   18.8  D    10 WHITE       63 |  298  289  251  653 | 35.6 34.5 30.0
   19.1  C    10 WHITE       83 |  383  390  369  860 | 33.5 34.2 32.3
   19.1  D    10 WHITE       76 |  357  345  299  779 | 35.7 34.5 29.9
   19.3  C    10 WHITE       93 |  432  431  399  960 | 34.2 34.2 31.6
   19.3  D    10 WHITE       81 |  385  372  321  831 | 35.7 34.5 29.8
   19.6  C    10 WHITE      100 |  522  512  462 1024 | 34.9 34.2 30.9
   19.6  D    10 WHITE       83 |  395  381  328  850 | 35.8 34.5 29.7
   19.8  C    10 WHITE      100 |  526  515  462 1024 | 35.0 34.3 30.7
   19.8  D    10 WHITE       81 |  392  377  325  837 | 35.8 34.5 29.7
   20.1  C    10 WHITE      100 |  503  496  449 1024 | 34.7 34.3 31.0
   20.1  D    10 WHITE       77 |  368  355  306  795 | 35.8 34.5 29.7
   20.3  C    10 WHITE       99 |  477  467  423 1023 | 34.9 34.2 30.9
   20.3  D    10 WHITE       64 |  307  297  256  662 | 35.7 34.5 29.8
   20.6  C    10 WHITE       88 |  413  408  373  909 | 34.6 34.2 31.2
   20.6  D     0 BLACK       21 |  102   97   83  218 | 36.2 34.4 29.4
   20.8  C    10 WHITE       81 |  380  373  341  835 | 34.7 34.1 31.2
   20.8  D     0 BLACK       16 |   78   75   65  169 | 35.8 34.4 29.8
   21.1  C    10 WHITE       87 |  407  403  373  895 | 34.4 34.1 31.5
   21.1  D     0 BLACK       12 |   62   59   51  132 | 36.0 34.3 29.7
   21.3  C    10 WHITE       74 |  321  347  348  761 | 31.6 34.2 34.3
   21.3  D     0 BLACK       17 |   80   81   70  182 | 34.6 35.1 30.3
   21.6  C    10 WHITE       62 |  269  289  290  635 | 31.7 34.1 34.2
   21.6  D     0 BLACK       12 |   58   58   51  132 | 34.7 34.7 30.5
   21.8  C     0 BLACK       30 |  139  137  129  311 | 34.3 33.8 31.9
   21.8  D    10 WHITE       69 |  325  309  270  710 | 36.0 34.2 29.9
   22.1  C    10 WHITE       40 |  193  181  155  410 | 36.5 34.2 29.3
   22.1  D    10 WHITE       44 |  214  200  176  456 | 36.3 33.9 29.8
   22.3  C    10 WHITE       37 |  180  169  144  382 | 36.5 34.3 29.2
   22.3  D     0 BLACK       26 |  129  121  106  276 | 36.2 34.0 29.8
   22.6  C     0 BLACK        6 |   34   30   26   71 | 37.8 33.3 28.9
   22.6  D     0 BLACK        7 |   36   35   31   78 | 35.3 34.3 30.4
   22.8  C    -1 UNKNOWN      1 |    5    6    6   11 | 29.4 35.3 35.3
   22.8  D    -1 UNKNOWN      0 |    1    2    1    3 | 25.0 50.0 25.0
   23.1  C    -1 UNKNOWN      0 |    1    1    1    2 | 33.3 33.3 33.3
   23.1  D    -1 UNKNOWN      0 |    1    1    1    2 | 33.3 33.3 33.3
   23.3  C    -1 UNKNOWN      0 |    1    1    1    2 | 33.3 33.3 33.3
   23.3  D    -1 UNKNOWN      0 |    0    0    1    1 |  0.0  0.0 100.0
   23.6  C    -1 UNKNOWN      0 |    1    1    1    3 | 33.3 33.3 33.3
   23.6  D    -1 UNKNOWN      0 |    1    0    0    3 | 100.0  0.0  0.0
   23.8  C    -1 UNKNOWN      0 |    2    4    3    6 | 22.2 44.4 33.3
   23.8  D    -1 UNKNOWN      1 |    5    6    6   13 | 29.4 35.3 35.3
   24.1  C    -1 UNKNOWN      2 |    9   10   13   24 | 28.1 31.3 40.6
   24.1  D    -1 UNKNOWN      2 |   11   13   13   28 | 29.7 35.1 35.1
   24.3  C    -1 UNKNOWN      2 |    8   10   11   22 | 27.6 34.5 37.9
   24.3  D    -1 UNKNOWN      2 |    9   11   11   24 | 29.0 35.5 35.5
