# ran: examples/color_live.py
# NOTE: this is program OUTPUT; the source is in examples/color_live.py

# examples/color_live.py — stream BOTH colour sensors so surfaces can be compared live.
==========================================================================
COLOUR SENSORS -- LIVE. Hold each surface under sensor C and keep it still.
==========================================================================

  Surfaces that matter: floor | YELLOW note | BLUE tape | SILVER tape
  Watch the 'name' column and the r:g:b ratios, not the raw numbers.

   t(s)  P  color name      refl |   r    g    b    i | r%%   g%%   b%%
   80.1  C    10 WHITE       87 |  355  411  438  901 | 29.5 34.1 36.4
   80.1  D    -1 UNKNOWN      1 |    7    9   10   19 | 26.9 34.6 38.5
   80.3  C    10 WHITE       87 |  354  410  438  899 | 29.5 34.1 36.4
   80.3  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   80.6  C    10 WHITE       87 |  355  410  438  900 | 29.5 34.1 36.4
   80.6  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   80.8  C    10 WHITE       87 |  352  407  434  894 | 29.5 34.1 36.4
   80.8  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   81.1  C    10 WHITE       87 |  355  410  438  897 | 29.5 34.1 36.4
   81.1  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   81.3  C    10 WHITE       88 |  354  410  436  904 | 29.5 34.2 36.3
   81.3  D    -1 UNKNOWN      1 |    7    7   10   18 | 29.2 29.2 41.7
   81.6  C    10 WHITE       88 |  356  412  440  908 | 29.5 34.1 36.4
   81.6  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   81.8  C    10 WHITE       87 |  354  410  436  898 | 29.5 34.2 36.3
   81.8  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   82.1  C    10 WHITE       88 |  355  411  438  906 | 29.5 34.1 36.4
   82.1  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   82.3  C    10 WHITE       87 |  351  406  434  893 | 29.5 34.1 36.4
   82.3  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   82.6  C    10 WHITE       86 |  348  402  429  883 | 29.5 34.1 36.4
   82.6  D    -1 UNKNOWN      1 |    7    9   10   19 | 26.9 34.6 38.5
   82.8  C    10 WHITE       86 |  345  400  427  883 | 29.4 34.1 36.4
   82.8  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   83.1  C    10 WHITE       83 |  336  390  416  854 | 29.4 34.2 36.4
   83.1  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   83.3  C    10 WHITE       81 |  328  380  408  838 | 29.4 34.1 36.6
   83.3  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   83.6  C    10 WHITE       79 |  318  369  397  816 | 29.3 34.0 36.6
   83.6  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   83.8  C    10 WHITE       81 |  330  383  410  838 | 29.4 34.1 36.5
   83.8  D    -1 UNKNOWN      1 |    7    7   10   18 | 29.2 29.2 41.7
   84.1  C    10 WHITE       82 |  333  385  414  847 | 29.4 34.0 36.6
   84.1  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   84.3  C    10 WHITE       83 |  335  388  416  854 | 29.4 34.1 36.5
   84.3  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   84.6  C    10 WHITE       82 |  328  380  408  840 | 29.4 34.1 36.6
   84.6  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   84.8  C    10 WHITE       81 |  325  377  404  833 | 29.4 34.1 36.5
   84.8  D    -1 UNKNOWN      1 |    7    9   10   19 | 26.9 34.6 38.5
   85.1  C    10 WHITE       82 |  330  383  412  845 | 29.3 34.0 36.6
   85.1  D    -1 UNKNOWN      1 |    7    9   10   19 | 26.9 34.6 38.5
   85.3  C    10 WHITE       83 |  337  390  417  859 | 29.5 34.1 36.5
   85.3  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   85.6  C    10 WHITE       84 |  339  392  421  864 | 29.4 34.0 36.5
   85.6  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   85.8  C    10 WHITE       83 |  335  388  416  855 | 29.4 34.1 36.5
   85.8  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   86.1  C    10 WHITE       83 |  339  392  421  858 | 29.4 34.0 36.5
   86.1  D    -1 UNKNOWN      1 |    7    7   10   18 | 29.2 29.2 41.7
   86.4  C    10 WHITE       84 |  341  395  423  866 | 29.4 34.1 36.5
   86.4  D    -1 UNKNOWN      1 |    7    7   10   18 | 29.2 29.2 41.7
   86.6  C    10 WHITE       84 |  339  394  419  868 | 29.4 34.2 36.4
   86.6  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   86.9  C    10 WHITE       84 |  339  392  421  865 | 29.4 34.0 36.5
   86.9  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   87.1  C    10 WHITE       83 |  337  390  416  858 | 29.5 34.1 36.4
   87.1  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   87.4  C    10 WHITE       84 |  338  392  417  862 | 29.5 34.2 36.4
   87.4  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   87.6  C    10 WHITE       83 |  338  392  417  860 | 29.5 34.2 36.4
   87.6  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   87.9  C    10 WHITE       84 |  341  395  421  865 | 29.5 34.1 36.4
   87.9  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   88.1  C    10 WHITE       84 |  341  395  421  869 | 29.5 34.1 36.4
   88.1  D    -1 UNKNOWN      1 |    7    7   10   18 | 29.2 29.2 41.7
   88.4  C    10 WHITE       83 |  339  392  421  860 | 29.4 34.0 36.5
   88.4  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   88.6  C    10 WHITE       84 |  338  391  419  864 | 29.4 34.1 36.5
   88.6  D    -1 UNKNOWN      1 |    7    7   10   18 | 29.2 29.2 41.7
   88.9  C    10 WHITE       85 |  341  395  423  871 | 29.4 34.1 36.5
   88.9  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   89.1  C    10 WHITE       85 |  342  396  423  874 | 29.5 34.1 36.4
   89.1  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   89.4  C    10 WHITE       85 |  345  399  427  875 | 29.5 34.1 36.5
   89.4  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   89.6  C    10 WHITE       85 |  347  400  429  877 | 29.5 34.0 36.5
   89.6  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   89.9  C    10 WHITE       84 |  340  394  419  865 | 29.5 34.2 36.3
   89.9  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   90.1  C    10 WHITE       85 |  342  396  423  871 | 29.5 34.1 36.4
   90.1  D    -1 UNKNOWN      1 |    7    9   10   19 | 26.9 34.6 38.5
   90.4  C    10 WHITE       85 |  347  402  429  878 | 29.5 34.1 36.4
   90.4  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   90.6  C    10 WHITE       85 |  344  398  425  875 | 29.5 34.1 36.4
   90.6  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   90.9  C    10 WHITE       86 |  347  402  429  881 | 29.5 34.1 36.4
   90.9  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   91.1  C    10 WHITE       85 |  341  395  423  872 | 29.4 34.1 36.5
   91.1  D    -1 UNKNOWN      1 |    7    7   10   18 | 29.2 29.2 41.7
   91.4  C    10 WHITE       81 |  326  377  404  833 | 29.4 34.1 36.5
   91.4  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   91.6  C    10 WHITE       81 |  327  379  406  832 | 29.4 34.1 36.5
   91.6  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   91.9  C    10 WHITE       82 |  331  383  412  842 | 29.4 34.0 36.6
   91.9  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   92.1  C    10 WHITE       84 |  338  391  419  863 | 29.4 34.1 36.5
   92.1  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   92.4  C    10 WHITE       84 |  338  391  417  862 | 29.5 34.1 36.4
   92.4  D    -1 UNKNOWN      1 |    7    9   10   20 | 26.9 34.6 38.5
   92.6  C    10 WHITE       84 |  341  395  421  864 | 29.5 34.1 36.4
   92.6  D    -1 UNKNOWN      1 |    7    9   10   19 | 26.9 34.6 38.5
   92.9  C    10 WHITE       84 |  339  392  419  867 | 29.5 34.1 36.4
   92.9  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   93.1  C    10 WHITE       85 |  343  398  425  871 | 29.4 34.1 36.4
   93.1  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   93.4  C    10 WHITE       84 |  340  395  421  869 | 29.4 34.2 36.4
   93.4  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   93.6  C    10 WHITE       84 |  341  395  423  870 | 29.4 34.1 36.5
   93.6  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   93.9  C    10 WHITE       85 |  342  396  423  872 | 29.5 34.1 36.4
   93.9  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   94.1  C    10 WHITE       85 |  345  399  427  877 | 29.5 34.1 36.5
   94.1  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   94.4  C    10 WHITE       85 |  344  398  425  876 | 29.5 34.1 36.4
   94.4  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   94.6  C    10 WHITE       85 |  347  402  429  879 | 29.5 34.1 36.4
   94.6  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   94.9  C    10 WHITE       85 |  343  398  425  876 | 29.4 34.1 36.4
   94.9  D    -1 UNKNOWN      1 |    7    9   10   19 | 26.9 34.6 38.5
   95.1  C    10 WHITE       85 |  345  399  427  875 | 29.5 34.1 36.5
   95.1  D    -1 UNKNOWN      1 |    7    9   10   19 | 26.9 34.6 38.5
Traceback (most recent call last):
  File "<stdin>", line 90, in <module>
KeyboardInterrupt: 
>>> 
